Year,Month,DayofMonth,DayOfWeek,FlightDate,Carrier_Airline,Tail_Number,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CRSDepTimeHour,CRSDepTimeMinute,CRSArrTimeHour,CRSArrTimeMinute,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
2022,3,31,4,2022-03-31,OH,N607NN,CLT,TYS,2020,2025.0,5.0,2130,2141.0,11.0,0.0,0.0,70.0,76.0,177.0,20,20,21,30,2022-03-31 20:20:00,70.0,11.0,Unknown
2022,3,31,4,2022-03-31,OH,N608NN,VPS,CLT,1430,1438.0,8.0,1717,1716.0,-1.0,0.0,0.0,107.0,98.0,460.0,14,30,17,17,2022-03-31 14:30:00,107.0,-1.0,Unknown
2022,3,31,4,2022-03-31,OH,N609NN,PHL,CVG,1945,2215.0,150.0,2143,37.0,174.0,0.0,0.0,118.0,142.0,507.0,19,45,21,43,2022-03-31 19:45:00,118.0,174.0,Unknown
2022,3,25,5,2022-03-25,OH,N610NN,CLT,FAY,2251,2249.0,-2.0,2359,2340.0,-19.0,0.0,0.0,68.0,51.0,118.0,22,51,23,59,2022-03-25 22:51:00,68.0,-19.0,Unknown
2022,3,31,4,2022-03-31,OH,N611NN,DTW,PHL,0600,620.0,20.0,0744,748.0,4.0,0.0,0.0,104.0,88.0,453.0,6,0,7,44,2022-03-31 06:00:00,104.0,4.0,Unknown
2022,3,31,4,2022-03-31,OH,N612NN,TLH,CLT,2009,2119.0,70.0,2145,2247.0,62.0,0.0,0.0,96.0,88.0,386.0,20,9,21,45,2022-03-31 20:09:00,96.0,62.0,Unknown
2022,3,31,4,2022-03-31,OH,N613NN,JAX,PHL,1522,1550.0,28.0,1732,1741.0,9.0,0.0,0.0,130.0,111.0,742.0,15,22,17,32,2022-03-31 15:22:00,130.0,9.0,Unknown
2022,3,25,5,2022-03-25,OH,N614NN,DTW,PHL,0600,551.0,-9.0,0744,719.0,-25.0,0.0,0.0,104.0,88.0,453.0,6,0,7,44,2022-03-25 06:00:00,104.0,-25.0,Unknown
2022,3,30,3,2022-03-30,OH,N615NN,EWN,CLT,1417,1415.0,-2.0,1539,1527.0,-12.0,0.0,0.0,82.0,72.0,221.0,14,17,15,39,2022-03-30 14:17:00,82.0,-12.0,Unknown
2022,3,15,2,2022-03-15,OH,N702PS,DCA,HPN,2015,2045.0,30.0,2145,2153.0,8.0,0.0,0.0,90.0,68.0,234.0,20,15,21,45,2022-03-15 20:15:00,90.0,8.0,Unknown
2022,3,31,4,2022-03-31,OH,N703PS,CAE,DCA,1929,2117.0,108.0,2100,2253.0,113.0,0.0,0.0,91.0,96.0,408.0,19,29,21,0,2022-03-31 19:29:00,91.0,113.0,Unknown
